,公司代码,公司名称,年份,募投项目是否延期
0,000001,平安银行,2014,0
1,000001,平安银行,2014,0
2,000001,平安银行,2014,0
3,000004,国农科技,2014,0
4,000004,国农科技,2014,0
5,000004,国农科技,2014,0
6,000005,世纪星源,2014,0
7,000005,世纪星源,2014,0
8,000005,世纪星源,2014,0
9,000007,零七股份,2014,0
10,000007,零七股份,2014,0
11,000007,零七股份,2014,0
12,000008,神州高铁,2014,0
13,000008,神州高铁,2014,0
14,000008,神州高铁,2014,0
15,000009,中国宝安,2014,0
16,000009,中国宝安,2014,0
17,000009,中国宝安,2014,0
18,000010,深华新,2014,0
19,000010,深华新,2014,0
20,000010,深华新,2014,0
21,000012,南玻Ａ,2014,0
22,000012,南玻Ａ,2014,0
23,000012,南玻Ａ,2014,0
24,000016,深康佳Ａ,2014,0
25,000016,深康佳Ａ,2014,0
26,000016,深康佳Ａ,2014,0
27,000017,深中华A,2014,0
28,000017,深中华A,2014,0
29,000017,深中华A,2014,0
30,000018,中冠A,2014,0
31,000018,中冠A,2014,0
32,000018,中冠A,2014,0
33,000019,深深宝Ａ,2014,0
34,000019,深深宝Ａ,2014,0
35,000019,深深宝Ａ,2014,0
36,000020,深华发Ａ,2014,0
37,000020,深华发Ａ,2014,0
38,000020,深华发Ａ,2014,0
39,000021,深科技,2014,0
40,000021,深科技,2014,0
41,000021,深科技,2014,0
42,000022,深赤湾Ａ,2014,0
43,000022,深赤湾Ａ,2014,0
44,000022,深赤湾Ａ,2014,0
45,000023,深天地Ａ,2014,0
46,000023,深天地Ａ,2014,0
47,000023,深天地Ａ,2014,0
48,000025,特力Ａ,2014,0
49,000025,特力Ａ,2014,0
50,000025,特力Ａ,2014,0
51,000026,飞亚达Ａ,2014,0
52,000026,飞亚达Ａ,2014,0
53,000026,飞亚达Ａ,2014,0
54,000027,深圳能源,2014,0
55,000027,深圳能源,2014,0
56,000027,深圳能源,2014,0
57,000028,国药一致,2014,0
58,000028,国药一致,2014,0
59,000028,国药一致,2014,0
60,000030,富奥股份,2014,0
61,000030,富奥股份,2014,0
62,000030,富奥股份,2014,0
63,000032,深桑达Ａ,2014,0
64,000032,深桑达Ａ,2014,0
65,000032,深桑达Ａ,2014,0
66,000033,ST新都,2014,0
67,000033,ST新都,2014,0
68,000033,ST新都,2014,0
69,000034,深信泰丰,2014,0
70,000034,深信泰丰,2014,0
71,000034,深信泰丰,2014,0
72,000035,中国天楹,2014,0
73,000035,中国天楹,2014,0
74,000035,中国天楹,2014,0
75,000037,深南电Ａ,2014,0
76,000037,深南电Ａ,2014,0
77,000037,深南电Ａ,2014,0
78,000038,深大通,2014,0
79,000038,深大通,2014,0
80,000038,深大通,2014,0
81,000039,中集集团,2014,0
82,000039,中集集团,2014,0
83,000039,中集集团,2014,0
84,000045,深纺织Ａ,2014,0
85,000045,深纺织Ａ,2014,0
86,000045,深纺织Ａ,2014,0
87,000048,康达尔,2014,0
88,000048,康达尔,2014,0
89,000048,康达尔,2014,0
90,000049,德赛电池,2014,0
91,000049,德赛电池,2014,0
92,000049,德赛电池,2014,0
93,000050,深天马Ａ,2014,0
94,000050,深天马Ａ,2014,0
95,000050,深天马Ａ,2014,0
96,000055,方大集团,2014,0
97,000055,方大集团,2014,0
98,000055,方大集团,2014,0
99,000058,深赛格,2014,0
100,000058,深赛格,2014,0
101,000058,深赛格,2014,0
102,000059,华锦股份,2014,0
103,000059,华锦股份,2014,0
104,000059,华锦股份,2014,0
105,000060,中金岭南,2014,0
106,000060,中金岭南,2014,0
107,000060,中金岭南,2014,0
108,000061,农产品,2014,0
109,000061,农产品,2014,0
110,000061,农产品,2014,0
111,000062,深圳华强,2014,0
112,000062,深圳华强,2014,0
113,000062,深圳华强,2014,0
114,000063,中兴通讯,2014,0
115,000063,中兴通讯,2014,0
116,000063,中兴通讯,2014,0
117,000065,北方国际,2014,0
118,000065,北方国际,2014,0
119,000065,北方国际,2014,0
120,000066,长城电脑,2014,0
121,000066,长城电脑,2014,0
122,000066,长城电脑,2014,0
123,000068,华控赛格,2014,0
124,000068,华控赛格,2014,0
125,000068,华控赛格,2014,0
126,000069,华侨城Ａ,2014,0
127,000069,华侨城Ａ,2014,0
128,000069,华侨城Ａ,2014,0
129,000070,特发信息,2014,0
130,000070,特发信息,2014,0
131,000070,特发信息,2014,0
132,000078,海王生物,2014,0
133,000078,海王生物,2014,0
134,000078,海王生物,2014,0
135,000088,盐田港,2014,0
136,000088,盐田港,2014,0
137,000088,盐田港,2014,0
138,000089,深圳机场,2014,0
139,000089,深圳机场,2014,0
140,000089,深圳机场,2014,0
141,000090,天健集团,2014,0
142,000090,天健集团,2014,0
143,000090,天健集团,2014,0
144,000096,广聚能源,2014,0
145,000096,广聚能源,2014,0
146,000096,广聚能源,2014,0
147,000099,中信海直,2014,0
148,000099,中信海直,2014,0
149,000099,中信海直,2014,0
150,000100,TCL集团,2014,0
151,000100,TCL集团,2014,0
152,000100,TCL集团,2014,0
153,000150,宜华健康,2014,0
154,000150,宜华健康,2014,0
155,000150,宜华健康,2014,0
156,000151,中成股份,2014,0
157,000151,中成股份,2014,0
158,000151,中成股份,2014,0
159,000153,丰原药业,2014,0
160,000153,丰原药业,2014,0
161,000153,丰原药业,2014,0
162,000155,ST川化,2014,0
163,000155,ST川化,2014,0
164,000155,ST川化,2014,0
165,000156,华数传媒,2014,0
166,000156,华数传媒,2014,0
167,000156,华数传媒,2014,0
168,000157,中联重科,2014,0
169,000157,中联重科,2014,0
170,000157,中联重科,2014,0
171,000158,常山股份,2014,0
172,000158,常山股份,2014,0
173,000158,常山股份,2014,0
174,000159,国际实业,2014,0
175,000159,国际实业,2014,0
176,000159,国际实业,2014,0
177,000166,申万宏源,2014,0
178,000166,申万宏源,2014,0
179,000166,申万宏源,2014,0
180,000301,东方市场,2014,0
181,000301,东方市场,2014,0
182,000301,东方市场,2014,0
183,000333,美的集团,2014,0
184,000333,美的集团,2014,0
185,000333,美的集团,2014,0
186,000338,潍柴动力,2014,0
187,000338,潍柴动力,2014,0
188,000338,潍柴动力,2014,0
189,000400,许继电气,2014,0
190,000400,许继电气,2014,0
191,000400,许继电气,2014,0
192,000401,冀东水泥,2014,0
193,000401,冀东水泥,2014,0
194,000401,冀东水泥,2014,0
195,000403,ST生化,2014,0
196,000403,ST生化,2014,0
197,000403,ST生化,2014,0
198,000404,华意压缩,2014,0
199,000404,华意压缩,2014,0
200,000404,华意压缩,2014,0
201,000407,胜利股份,2014,0
202,000407,胜利股份,2014,0
203,000407,胜利股份,2014,0
204,000408,金谷源,2014,0
205,000408,金谷源,2014,0
206,000408,金谷源,2014,0
207,000409,山东地矿,2014,0
208,000409,山东地矿,2014,0
209,000409,山东地矿,2014,0
210,000410,沈阳机床,2014,0
211,000410,沈阳机床,2014,0
212,000410,沈阳机床,2014,0
213,000411,英特集团,2014,0
214,000411,英特集团,2014,0
215,000411,英特集团,2014,0
216,000413,东旭光电,2014,0
217,000413,东旭光电,2014,0
218,000413,东旭光电,2014,0
219,000415,渤海租赁,2014,0
220,000415,渤海租赁,2014,0
221,000415,渤海租赁,2014,0
222,000416,民生控股,2014,0
223,000416,民生控股,2014,0
224,000416,民生控股,2014,0
225,000417,合肥百货,2014,0
226,000417,合肥百货,2014,0
227,000417,合肥百货,2014,0
228,000418,小天鹅Ａ,2014,0
229,000418,小天鹅Ａ,2014,0
230,000418,小天鹅Ａ,2014,0
231,000419,通程控股,2014,0
232,000419,通程控股,2014,0
233,000419,通程控股,2014,0
234,000420,吉林化纤,2014,0
235,000420,吉林化纤,2014,0
236,000420,吉林化纤,2014,0
237,000421,南京中北,2014,0
238,000421,南京中北,2014,0
239,000421,南京中北,2014,0
240,000422,湖北宜化,2014,0
241,000422,湖北宜化,2014,0
242,000422,湖北宜化,2014,0
243,000423,东阿阿胶,2014,0
244,000423,东阿阿胶,2014,0
245,000423,东阿阿胶,2014,0
246,000425,徐工机械,2014,0
247,000425,徐工机械,2014,0
248,000425,徐工机械,2014,0
249,000426,兴业矿业,2014,0
250,000426,兴业矿业,2014,0
251,000426,兴业矿业,2014,0
252,000428,华天酒店,2014,0
253,000428,华天酒店,2014,0
254,000428,华天酒店,2014,0
255,000429,粤高速Ａ,2014,0
256,000429,粤高速Ａ,2014,0
257,000429,粤高速Ａ,2014,0
258,000430,张家界,2014,0
259,000430,张家界,2014,0
260,000430,张家界,2014,0
261,000488,晨鸣纸业,2014,0
262,000488,晨鸣纸业,2014,0
263,000488,晨鸣纸业,2014,0
264,000498,山东路桥,2014,0
265,000498,山东路桥,2014,0
266,000498,山东路桥,2014,0
267,000501,鄂武商Ａ,2014,0
268,000501,鄂武商Ａ,2014,0
269,000501,鄂武商Ａ,2014,0
270,000503,海虹控股,2014,0
271,000503,海虹控股,2014,0
272,000503,海虹控股,2014,0
273,000504,南华生物,2014,0
274,000504,南华生物,2014,0
275,000504,南华生物,2014,0
276,000506,中润资源,2014,0
277,000506,中润资源,2014,0
278,000506,中润资源,2014,0
279,000507,珠海港,2014,0
280,000507,珠海港,2014,0
281,000507,珠海港,2014,0
282,000509,华塑控股,2014,0
283,000509,华塑控股,2014,0
284,000509,华塑控股,2014,0
285,000510,金路集团,2014,0
286,000510,金路集团,2014,0
287,000510,金路集团,2014,0
288,000511,烯碳新材,2014,0
289,000511,烯碳新材,2014,0
290,000511,烯碳新材,2014,0
291,000513,丽珠集团,2014,0
292,000513,丽珠集团,2014,0
293,000513,丽珠集团,2014,0
294,000516,国际医学,2014,0
295,000516,国际医学,2014,0
296,000516,国际医学,2014,0
297,000518,四环生物,2014,0
298,000518,四环生物,2014,0
299,000518,四环生物,2014,0
300,000519,江南红箭,2014,0
301,000519,江南红箭,2014,0
302,000519,江南红箭,2014,0
303,000520,ST凤凰,2014,0
304,000520,ST凤凰,2014,0
305,000520,ST凤凰,2014,0
306,000521,美菱电器,2014,0
307,000521,美菱电器,2014,0
308,000521,美菱电器,2014,0
309,000523,广州浪奇,2014,0
310,000523,广州浪奇,2014,0
311,000523,广州浪奇,2014,0
312,000524,东方宾馆,2014,0
313,000524,东方宾馆,2014,0
314,000524,东方宾馆,2014,0
315,000525,红太阳,2014,0
316,000525,红太阳,2014,0
317,000525,红太阳,2014,0
318,000526,银润投资,2014,0
319,000526,银润投资,2014,0
320,000526,银润投资,2014,0
321,000528,柳工,2014,0
322,000528,柳工,2014,0
323,000528,柳工,2014,0
324,000529,广弘控股,2014,0
325,000529,广弘控股,2014,0
326,000529,广弘控股,2014,0
327,000530,大冷股份,2014,0
328,000530,大冷股份,2014,0
329,000530,大冷股份,2014,0
330,000531,穗恒运Ａ,2014,0
331,000531,穗恒运Ａ,2014,0
332,000531,穗恒运Ａ,2014,0
333,000532,力合股份,2014,0
334,000532,力合股份,2014,0
335,000532,力合股份,2014,0
336,000533,万家乐,2014,0
337,000533,万家乐,2014,0
338,000533,万家乐,2014,0
339,000536,华映科技,2014,0
340,000536,华映科技,2014,0
341,000536,华映科技,2014,0
342,000538,云南白药,2014,0
343,000538,云南白药,2014,0
344,000538,云南白药,2014,0
345,000539,粤电力Ａ,2014,0
346,000539,粤电力Ａ,2014,0
347,000539,粤电力Ａ,2014,0
348,000541,佛山照明,2014,0
349,000541,佛山照明,2014,0
350,000541,佛山照明,2014,0
351,000543,皖能电力,2014,0
352,000543,皖能电力,2014,0
353,000543,皖能电力,2014,0
354,000544,中原环保,2014,0
355,000544,中原环保,2014,0
356,000544,中原环保,2014,0
357,000545,金浦钛业,2014,0
358,000545,金浦钛业,2014,0
359,000545,金浦钛业,2014,0
360,000546,金圆股份,2014,0
361,000546,金圆股份,2014,0
362,000546,金圆股份,2014,0
363,000547,闽福发Ａ,2014,0
364,000547,闽福发Ａ,2014,0
365,000547,闽福发Ａ,2014,0
366,000548,湖南投资,2014,0
367,000548,湖南投资,2014,0
368,000548,湖南投资,2014,0
369,000550,江铃汽车,2014,0
370,000550,江铃汽车,2014,0
371,000550,江铃汽车,2014,0
372,000551,创元科技,2014,0
373,000551,创元科技,2014,0
374,000551,创元科技,2014,0
375,000552,靖远煤电,2014,0
376,000552,靖远煤电,2014,0
377,000552,靖远煤电,2014,0
378,000553,沙隆达Ａ,2014,0
379,000553,沙隆达Ａ,2014,0
380,000553,沙隆达Ａ,2014,0
381,000554,泰山石油,2014,0
382,000554,泰山石油,2014,0
383,000554,泰山石油,2014,0
384,000555,神州信息,2014,0
385,000555,神州信息,2014,0
386,000555,神州信息,2014,0
387,000557,ST广夏,2014,0
388,000557,ST广夏,2014,0
389,000557,ST广夏,2014,0
390,000559,万向钱潮,2014,0
391,000559,万向钱潮,2014,0
392,000559,万向钱潮,2014,0
393,000560,昆百大Ａ,2014,0
394,000560,昆百大Ａ,2014,0
395,000560,昆百大Ａ,2014,0
396,000561,烽火电子,2014,0
397,000561,烽火电子,2014,0
398,000561,烽火电子,2014,0
399,000563,陕国投Ａ,2014,0
400,000563,陕国投Ａ,2014,0
401,000563,陕国投Ａ,2014,0
402,000564,西安民生,2014,0
403,000564,西安民生,2014,0
404,000564,西安民生,2014,0
405,000565,渝三峡Ａ,2014,0
406,000565,渝三峡Ａ,2014,0
407,000565,渝三峡Ａ,2014,0
408,000566,海南海药,2014,1
409,000566,海南海药,2014,1
410,000566,海南海药,2014,1
411,000568,泸州老窖,2014,0
412,000568,泸州老窖,2014,0
413,000568,泸州老窖,2014,0
414,000570,苏常柴Ａ,2014,0
415,000570,苏常柴Ａ,2014,0
416,000570,苏常柴Ａ,2014,0
417,000571,新大洲Ａ,2014,0
418,000571,新大洲Ａ,2014,0
419,000571,新大洲Ａ,2014,0
420,000572,海马汽车,2014,0
421,000572,海马汽车,2014,0
422,000572,海马汽车,2014,0
423,000576,广东甘化,2014,0
424,000576,广东甘化,2014,0
425,000576,广东甘化,2014,0
426,000581,威孚高科,2014,0
427,000581,威孚高科,2014,0
428,000581,威孚高科,2014,0
429,000582,北部湾港,2014,0
430,000582,北部湾港,2014,0
431,000582,北部湾港,2014,0
432,000584,友利控股,2014,0
433,000584,友利控股,2014,0
434,000584,友利控股,2014,0
435,000585,东北电气,2014,0
436,000585,东北电气,2014,0
437,000585,东北电气,2014,0
438,000586,汇源通信,2014,0
439,000586,汇源通信,2014,0
440,000586,汇源通信,2014,0
441,000587,金叶珠宝,2014,0
442,000587,金叶珠宝,2014,0
443,000587,金叶珠宝,2014,0
444,000589,黔轮胎Ａ,2014,0
445,000589,黔轮胎Ａ,2014,0
446,000589,黔轮胎Ａ,2014,0
447,000590,ST古汉,2014,0
448,000590,ST古汉,2014,0
449,000590,ST古汉,2014,0
450,000591,桐君阁,2014,0
451,000591,桐君阁,2014,0
452,000591,桐君阁,2014,0
453,000592,平潭发展,2014,0
454,000592,平潭发展,2014,0
455,000592,平潭发展,2014,0
456,000593,大通燃气,2014,0
457,000593,大通燃气,2014,0
458,000593,大通燃气,2014,0
459,000594,ST国恒,2014,0
460,000594,ST国恒,2014,0
461,000594,ST国恒,2014,0
462,000595,西北轴承,2014,0
463,000595,西北轴承,2014,0
464,000595,西北轴承,2014,0
465,000596,古井贡酒,2014,0
466,000596,古井贡酒,2014,0
467,000596,古井贡酒,2014,0
468,000597,东北制药,2014,0
469,000597,东北制药,2014,0
470,000597,东北制药,2014,0
471,000598,兴蓉投资,2014,0
472,000598,兴蓉投资,2014,0
473,000598,兴蓉投资,2014,0
474,000599,青岛双星,2014,0
475,000599,青岛双星,2014,0
476,000599,青岛双星,2014,0
477,000600,建投能源,2014,0
478,000600,建投能源,2014,0
479,000600,建投能源,2014,0
480,000601,韶能股份,2014,0
481,000601,韶能股份,2014,0
