,公司代码,公司名称,年份,募投项目是否延期
0,000001,平安银行,2015,0
1,000002,万  科Ａ,2015,0
2,000004,国农科技,2015,0
3,000005,世纪星源,2015,0
4,000006,深振业Ａ,2015,0
5,000007,全新好,2015,0
6,000008,神州高铁,2015,0
7,000009,中国宝安,2015,0
8,000010,美丽生态,2015,0
9,000011,深物业A,2015,0
10,000012,南  玻Ａ,2015,0
11,000014,沙河股份,2015,0
12,000016,深康佳Ａ,2015,0
13,000017,深中华A,2015,0
14,000018,神州长城,2015,0
15,000019,深深宝Ａ,2015,0
16,000020,深华发Ａ,2015,0
17,000021,深科技,2015,0
18,000022,深赤湾Ａ,2015,0
19,000023,深天地Ａ,2015,0
20,000025,特  力Ａ,2015,0
21,000026,飞亚达Ａ,2015,0
22,000027,深圳能源,2015,0
23,000028,国药一致,2015,0
24,000029,深深房Ａ,2015,0
25,000030,富奥股份,2015,0
26,000031,中粮地产,2015,0
27,000032,深桑达Ａ,2015,0
28,000033,ST新都,2015,0
29,000034,深信泰丰,2015,0
30,000035,中国天楹,2015,0
31,000036,华联控股,2015,0
32,000037,深南电Ａ,2015,0
33,000038,深大通,2015,0
34,000039,中集集团,2015,0
35,000040,宝安地产,2015,0
36,000042,中洲控股,2015,0
37,000043,中航地产,2015,0
38,000045,深纺织Ａ,2015,0
39,000046,泛海控股,2015,0
40,000048,康达尔,2015,0
41,000049,德赛电池,2015,0
42,000050,深天马Ａ,2015,0
43,000055,方大集团,2015,0
44,000056,皇庭国际,2015,0
45,000058,深 赛 格,2015,0
46,000059,ST华锦,2015,0
47,000060,中金岭南,2015,0
48,000061,农 产 品,2015,0
49,000062,深圳华强,2015,0
50,000063,中兴通讯,2015,0
51,000065,北方国际,2015,0
52,000066,长城电脑,2015,0
53,000068,ST华赛,2015,0
54,000069,华侨城Ａ,2015,0
55,000070,特发信息,2015,0
56,000078,海王生物,2015,0
57,000088,盐 田 港,2015,0
58,000089,深圳机场,2015,0
59,000090,天健集团,2015,0
60,000096,广聚能源,2015,0
61,000099,中信海直,2015,0
62,000100,TCL 集团,2015,0
63,000150,宜华健康,2015,0
64,000151,中成股份,2015,0
65,000153,丰原药业,2015,0
66,000155,ST川化,2015,0
67,000156,华数传媒,2015,0
68,000157,中联重科,2015,0
69,000158,常山股份,2015,0
70,000159,国际实业,2015,0
71,000166,申万宏源,2015,0
72,000301,东方市场,2015,0
73,000333,美的集团,2015,0
74,000333,美的集团,2015,0
75,000338,潍柴动力,2015,0
76,000400,许继电气,2015,0
77,000401,冀东水泥,2015,0
78,000402,金 融 街,2015,0
79,000403,ST生化,2015,0
80,000404,华意压缩,2015,0
81,000407,胜利股份,2015,0
82,000408,ST金源,2015,0
83,000409,山东地矿,2015,0
84,000410,沈阳机床,2015,0
85,000411,英特集团,2015,0
86,000413,东旭光电,2015,0
87,000415,渤海金控,2015,0
88,000416,民生控股,2015,0
89,000417,合肥百货,2015,0
90,000418,小天鹅Ａ,2015,0
91,000419,通程控股,2015,0
92,000420,吉林化纤,2015,0
93,000421,南京中北,2015,0
94,000422,湖北宜化,2015,0
95,000423,东阿阿胶,2015,0
96,000425,徐工机械,2015,0
97,000426,兴业矿业,2015,0
