Date,Open,High,Close,Low,Volume,Adj Close
2017-12-27,27.87,27.87,27.61,27.56,23647.33,27.61
2017-12-26,27.06,28,27.75,26.98,26531.66,27.75
2017-12-25,27.52,27.83,27.28,27,20914.64,27.28
2017-12-22,27.3,27.9,27.71,27.3,30803.86,27.71
2017-12-21,27.05,28.05,27.5,26.86,52244.01,27.5
2017-12-20,27.31,27.46,27.35,27,20358.58,27.35
2017-12-19,26.18,27.48,27.48,26.09,45968.04,27.48
2017-12-18,26.13,26.44,26.44,25.5,17236.76,26.44
2017-12-15,26.79,26.79,26.2,26.2,12728.56,26.2
2017-12-14,26.93,27.04,26.81,26.41,16443.93,26.81
2017-12-13,26.23,26.99,26.98,25.97,25096.7,26.98
2017-12-12,26.63,26.72,26.4,26.2,20073.98,26.4
2017-12-11,26.28,27.2,26.93,26.02,45649.2,26.93
2017-12-8,26.33,26.57,26.33,26.22,40617.47,26.33
2017-12-7,24.4,27.04,26.33,24.02,60127.21,26.33
2017-12-6,23.88,24.68,24.59,23.88,27053.42,24.59
2017-12-5,25.7,25.7,24.2,23.65,45097.43,24.2
2017-12-4,25.68,25.78,25.56,25.26,10268.18,25.56
2017-12-1,25.72,25.94,25.76,25.54,9889.4,25.76
2017-11-30,26,26.19,25.76,25.5,14687.91,25.76
2017-11-29,25.96,26.18,26.08,25.34,32602.41,26.08
2017-11-28,25.3,26.01,25.96,25.3,34609.26,25.96
2017-11-27,24.7,25.48,25.3,24.7,29834.38,25.3
2017-11-24,23.8,24.78,24.68,23.8,14168,24.68
2017-11-23,23.45,24.3,23.85,23.45,12768.37,23.85
2017-11-22,23.49,23.75,23.64,23.14,13993.44,23.64
2017-11-21,23.86,23.93,23.4,23,27349.38,23.4
2017-11-20,24.64,24.78,23.86,23.72,25045.47,23.86
2017-11-17,24.74,25.25,24.88,23.7,21941,24.88
2017-11-16,24.82,25,24.8,24.05,16678.53,24.8
2017-11-15,24.89,25.09,24.82,24.65,9019.34,24.82
2017-11-14,24.52,25.19,24.87,24.52,14802.2,24.87
2017-11-13,25.2,25.41,24.8,24.8,8044.34,24.8
2017-11-10,24.8,25.34,25.28,24.74,7952.29,25.28
2017-11-9,24.65,24.99,24.95,24.59,9727.73,24.95
2017-11-8,24.25,25.19,24.85,23.85,17683.73,24.85
2017-11-7,24.23,24.33,24.26,23.76,12429.23,24.26
2017-11-6,24.22,24.39,24.22,23.65,12931.24,24.22
2017-11-3,25.28,25.33,24.02,24,15267.22,24.02
2017-11-2,25.1,25.42,25.28,24.94,9070.8,25.28
2017-11-1,25.26,25.38,25.24,25.02,7919.34,25.24
2017-10-31,26.09,26.09,25.26,24.98,15807.45,25.26
2017-10-30,25.9,26.2,25.98,24.81,15318.72,25.98
2017-10-27,26.21,26.21,25.88,25.63,9119.9,25.88
2017-10-26,26.43,26.45,26.21,25.95,14416.5,26.21
2017-10-25,26.25,26.6,26.4,26.1,11428.5,26.4
2017-10-24,26.05,26.42,26.24,25.87,10188.23,26.24
2017-10-23,25.12,26,25.99,25.12,11102.33,25.99
2017-10-20,24.8,25.27,25.24,24.8,11478,25.24
2017-10-19,25.9,25.98,24.95,24.65,18090,24.95
2017-10-18,26.3,26.59,25.94,25.81,12623,25.94
2017-10-17,26.9,26.92,26.3,26.01,13904.45,26.3
2017-10-16,27.16,27.45,26.93,26.69,11313.83,26.93
2017-10-13,27,27.2,27.03,26.77,15085,27.03
2017-10-12,27.05,27.1,27,26.34,12053.72,27
2017-10-11,26.8,27.12,27.01,26.7,8522.29,27.01
2017-10-10,27,27.17,26.89,26.5,10679,26.89
