open,high,close,low,volume,Adj Close
2017-12-27,4045.28,4047.74,3991.21,3986.74,1051535.75,3991.21
2017-12-26,4040.62,4056.86,4053.62,4015.3,911187.88,4053.62
2017-12-25,4057.42,4086.93,4041.54,4026.45,919269.62,4041.54
2017-12-22,4064.91,4076.8,4054.6,4048.49,734736.81,4054.6
2017-12-21,4023.08,4080.78,4067.85,4014.65,968360.88,4067.85
2017-12-20,4036.02,4044.85,4030.49,4015.63,906045.0,4030.49
2017-12-19,3985.82,4035.63,4035.33,3985.82,775289.88,4035.33
2017-12-18,3983.3,4008.07,3985.29,3967.93,778533.75,3985.29
2017-12-15,4018.73,4020.27,3980.86,3974.93,890443.88,3980.86
2017-12-14,4050.9,4057.62,4026.15,4013.85,807688.62,4026.15
2017-12-13,4013.83,4052.69,4050.09,4004.74,775461.31,4050.09
2017-12-12,4068.51,4070.15,4016.02,4015.45,843387.19,4016.02
2017-12-11,4006.88,4069.5,4069.5,4005.27,971489.44,4069.5
2017-12-08,3962.83,4014.14,4003.38,3955.44,892828.62,4003.38
2017-12-07,4003.58,4017.95,3971.06,3955.99,902540.44,3971.06
2017-12-06,4027.12,4031.75,4015.82,3964.81,1092862.0,4015.82
2017-12-05,4007.94,4045.93,4040.17,4006.54,1540870.75,4040.17
2017-12-04,3989.05,4032.99,4018.86,3982.32,1026472.19,4018.86
2017-12-01,4003.56,4027.11,3998.14,3984.38,973869.12,3998.14
2017-11-30,4034.01,4052.8,4006.1,3988.0,1079833.5,4006.1
2017-11-29,4061.35,4069.24,4053.75,4004.69,1245536.38,4053.75
2017-11-28,4034.21,4056.48,4055.82,4010.3,1020580.94,4055.82
2017-11-27,4088.93,4088.93,4049.95,4037.15,1434552.62,4049.95
2017-11-24,4089.47,4116.59,4104.2,4057.49,1308580.38,4104.2
2017-11-23,4213.38,4214.19,4102.4,4086.9,1781472.25,4102.4
2017-11-22,4228.37,4260.64,4227.57,4191.15,1864770.0,4227.57
2017-11-21,4131.85,4220.26,4217.7,4129.98,1803508.25,4217.7
2017-11-20,4093.73,4144.51,4143.83,4060.96,1374472.62,4143.83
2017-11-17,4094.08,4122.38,4120.85,4081.37,1917841.25,4120.85
2017-11-16,4063.49,4107.62,4105.01,4062.27,1213844.12,4105.01
2017-11-15,4084.21,4102.81,4073.67,4055.72,1206357.0,4073.67
2017-11-14,4129.27,4133.55,4099.35,4086.89,1432369.38,4099.35
2017-11-13,4115.55,4137.65,4128.07,4115.55,1514463.12,4128.07
2017-11-10,4070.28,4116.71,4111.91,4067.66,1418171.62,4111.91
2017-11-09,4043.07,4076.61,4075.9,4038.4,1210563.38,4075.9
2017-11-08,4051.49,4089.15,4048.01,4040.58,1508277.25,4048.01
2017-11-07,4022.4,4064.22,4054.25,4021.36,1521166.62,4054.25
2017-11-06,3989.18,4021.64,4020.89,3975.41,1220811.62,4020.89
2017-11-03,3992.35,3999.34,3992.7,3963.03,1294044.38,3992.7
