Date,Open,High,Low,Close,Volume,Adj Close
2000-12-29,30.87,31.31,28.69,29.06,31655500,27.91
2000-12-28,30.56,31.12,30.37,31.06,25055600,29.84
2000-12-27,30.37,31.06,29.37,30.69,26441700,29.48
2000-12-26,31.5,32.19,30,30.94,20594800,29.72
2000-12-22,30.37,31.98,30,31.87,35568900,30.61
2000-12-21,27.81,30.25,27.31,29.5,46723300,28.34
2000-12-20,28.06,29.81,27.5,28.5,54440800,27.38
2000-12-19,31.81,33.13,30.12,30.62,58653400,29.41
2000-12-18,30,32.44,29.94,32,61640200,30.74
2000-12-15,29.44,30.08,28.19,28.56,15150000,27.43
2000-12-14,29.25,29.94,27.25,27.5,45894200,26.42
2000-12-13,31.94,32,28.25,28.37,37935600,27.25
2000-12-12,31.87,32.5,30.41,30.75,26481900,29.54
2000-12-11,30.5,32.25,30,31.94,50285200,30.68
2000-12-8,30.06,30.62,29.25,30.06,40054100,28.88
2000-12-7,29.62,29.94,28.12,28.31,41093000,27.19
2000-12-6,31.19,31.62,29.31,30.19,42128700,29
2000-12-5,29.44,31.5,28.94,31.5,59757500,30.26
2000-12-4,26.25,28.87,26.19,28.19,40710600,27.08
2000-12-1,26.37,27.87,25.5,26.44,48665500,25.4
2000-11-30,21.75,27.62,21.5,26.5,84386600,25.46
2000-11-29,23.19,23.62,21.81,22.87,75408100,21.97
2000-11-28,23.5,23.81,22.25,22.66,43078300,21.77
2000-11-27,25.44,25.81,22.87,23.12,45668100,22.21
2000-11-24,23.31,24.25,23.12,24.12,22446100,23.17
2000-11-22,23.62,24.06,22.06,22.31,53317000,21.43
2000-11-21,24.81,25.62,23.5,23.87,58651900,22.93
2000-11-20,24.31,25.87,24,24.75,89783100,23.77
2000-11-17,26.94,29.25,25.25,28.81,59639400,27.67
2000-11-16,28.75,29.81,27.25,27.37,37990000,26.29
2000-11-15,28.81,29.44,27.7,28.87,50655200,27.73
2000-11-14,27.37,28.5,26.5,28.37,77496700,27.25
2000-11-13,25.12,25.87,23.5,24.75,61651900,23.77
2000-11-10,26.44,26.94,24.87,25.44,54614100,24.44
2000-11-9,24.69,27.37,24.06,27.19,67281100,26.12
2000-11-8,27.37,27.5,24.5,24.81,63040000,23.83
2000-11-7,28.37,28.44,26.5,26.56,58950800,25.51
2000-11-6,30.69,30.69,27.5,27.94,75552300,26.84
2000-11-3,31.5,31.75,29.5,30.31,65020900,29.12
2000-11-2,32.44,32.5,27.25,29.56,149780300,28.4
2000-11-1,32.81,33.19,30.37,31.37,62690900,30.13
2000-10-31,32.63,34.75,32.5,33,41880900,31.7
2000-10-30,33.75,34.13,31.37,31.62,35424500,30.37
2000-10-27,34.5,35.19,33,34.19,34963600,32.84
2000-10-26,34.75,35.88,30.94,34.06,49993400,32.72
2000-10-25,36.5,36.63,34,34.38,33362500,33.03
2000-10-24,35,36.56,34.5,35.81,36714700,34.4
2000-10-23,34.75,35.25,33.38,34.06,28319800,32.72
2000-10-20,36.13,36.5,34.94,35.25,34075300,33.86
2000-10-19,36,36.5,34.63,36.38,39321600,34.95
2000-10-18,31.56,35.38,30.5,33.56,52551200,32.24
2000-10-17,35.75,35.88,32.88,33.69,29356100,32.36
2000-10-16,36.56,37,33.38,34.56,36480800,33.2
2000-10-13,31,35.75,31,35.63,38516200,34.23
2000-10-12,63.81,64.87,61.75,63,50892400,30.26
2000-10-11,63,65.98,62,62.25,71680000,29.9
2000-10-10,66.06,67.25,64.5,64.62,50953200,31.04
2000-10-9,67.62,68.75,65.12,66.75,40306200,32.06
2000-10-6,69.25,71.62,66.87,67.62,53382400,32.48
2000-10-5,68.31,69.62,66.5,68.31,54325000,32.81
2000-10-4,66,70.75,60.5,68.12,204843400,32.72
2000-10-3,79.81,81.61,68.75,69.5,96832200,33.38
2000-10-2,79.75,82.12,77.72,78.75,46146200,37.82
