,0,1
0,19960627,448412
1,19960711,454333
2,19960718,460654
3,19960725,447351
4,19960801,463777
5,19960808,452081
6,19960815,454291
7,19960822,452129
8,19960829,457126
9,19960905,457754
10,19960912,458983
11,19960919,454561
12,19960926,458886
13,19961003,451251
14,19961010,457385
15,19961017,458030
16,19961024,461857
17,19961031,454742
18,19961107,460946
19,19961114,462945
20,19961121,464981
21,19961205,468513
22,19961212,462606
23,19961219,482027
24,19961226,475002
25,19970102,481140
26,19970109,467538
27,19970116,470106
28,19970123,465603
29,19970130,471238
30,19970206,458057
31,19970213,464729
32,19970220,465993
33,19970227,470742
34,19970306,461853
35,19970313,471150
36,19970320,469221
37,19970327,470517
38,19970403,468212
39,19970410,474102
40,19970417,476761
41,19970424,487325
42,19970501,516434
43,19970508,490637
44,19970515,479416
45,19970522,473853
46,19970529,473257
47,19970605,477340
48,19970612,471377
49,19970619,478117
50,19970626,484672
51,19970703,479778
52,19970710,476815
53,19970717,476815
54,19970724,472088
55,19970731,480574
56,19970807,476666
57,19970814,484842
58,19970821,478204
59,19970828,486529
60,19970904,484704
61,19970911,484078
62,19970918,480576
63,19970925,484194
64,19971002,480681
65,19971009,480681
66,19971016,488543
67,19971023,490753
68,19971030,480831
69,19971106,491787
70,19971113,488988
71,19971120,488029
72,19971204,499725
73,19971211,490703
74,19971218,504388
75,19980108,500367
76,19980115,500895
77,19980122,503219
78,19980129,500816
79,19980205,489374
80,19980212,494502
81,19980219,499119
82,19980226,502918
83,19980305,493586
84,19980312,502510
85,19980319,496692
86,19980326,500541
87,19980402,498041
88,19980409,499778
89,19980416,505633
90,19980423,516008
91,19980430,534591
92,19980507,499877
93,19980514,498395
94,19980521,505582
95,19980528,504508
96,19980604,508090
97,19980611,498803
98,19980618,511324
99,19980625,515138
100,19980702,515748
101,19980709,506134
102,19980716,514773
103,19980723,504177
104,19980730,511878
105,19980806,507035
106,19980813,516694
107,19980820,506126
108,19980827,515172
109,19980903,511585
110,19980910,523883
111,19980917,514774
112,19980924,518410
113,19981001,524476
114,19981008,518266
115,19981022,520213
116,19981029,516148
117,19981105,520945
118,19981112,523894
119,19981119,523352
120,19981203,527190
121,19981210,526931
122,19981217,532600
123,19981224,536284
124,19981231,546322
125,19990107,533434
126,19990114,531897
127,19990121,537740
128,19990128,534429
129,19990204,526056
