"授权公告号","申请号","法律状态公告日","法律状态","法律状态信息"
"","00106482.7","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","00106890.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","00108597.2","2016.12.28","专利实施许可合同备案的生效、变更及注销","专利实施许可合同备案的生效"
"","00115791.4","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","00120050.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","00120050.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","00132208.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","00132827.1","2016.12.28","专利权的终止","专利权有效期届满"
"","00132930.8","2016.12.28","专利权的终止","未缴年费专利权终止"
"","00132940.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","00132942.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","00132943.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","00133106.X","2016.12.28","专利权的终止","专利权有效期届满"
"","00133477.8","2016.12.28","专利权的终止","未缴年费专利权终止"
"","00800381.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","00805743.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","00805743.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","00808048.8","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","00809420.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","00816435.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","00817638.8","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","00817638.8","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","00817638.8","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01103753.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01108048.5","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","01108048.5","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","01108048.5","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","01117392.0","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01119436.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","01124411.9","2016.12.28","专利权的终止","专利权有效期届满"
"","01124412.7","2016.12.28","专利权的终止","专利权有效期届满"
"","01132152.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","01134570.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","01135827.0","2016.12.28","专利权的终止","专利权有效期届满"
"","01136666.4","2016.12.28","专利权的终止","未缴年费专利权终止"
"","01137134.X","2016.12.28","专利权的终止","专利权有效期届满"
"","01137442.X","2016.12.28","专利权的终止","专利权有效期届满"
"","01137822.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","01140723.9","2016.12.28","专利权的终止","专利权有效期届满"
"","01803922.7","2016.12.28","专利实施许可合同备案的生效、变更及注销","专利实施许可合同备案的生效"
"","01806789.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01808172.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01808172.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","01808172.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","01809462.7","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01809462.7","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01809462.7","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","01809837.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01809837.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01809837.1","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","01813788.1","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","01816119.7","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01816119.7","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01816119.7","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","01816269.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","01818421.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","01818526.6","2016.12.28","专利权的终止","未缴年费专利权终止"
"","01818622.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","01818653.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","01819011.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","01819651.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01819651.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","01819651.9","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","01819768.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","01820768.5","2016.12.28","专利实施许可合同备案的生效、变更及注销","专利实施许可合同备案的生效"
"","01820843.6","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","01821467.3","2016.12.28","专利实施许可合同备案的生效、变更及注销","专利实施许可合同备案的生效"
"","02102793.5","2016.12.28","专利权的终止","专利权有效期届满"
"","02106990.5","2016.12.28","专利权的无效宣告","专利权全部无效"
"","02113167.8","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","02113167.8","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","02113167.8","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","02126884.3","2016.12.28","专利权的终止","专利权有效期届满"
"","02126893.2","2016.12.28","专利权的终止","专利权有效期届满"
"","02126894.0","2016.12.28","专利权的终止","专利权有效期届满"
"","02127499.1","2016.12.28","专利权的终止","专利权有效期届满"
"","02132132.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","02134041.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02135096.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02137830.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","02137830.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","02137830.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","02143919.2","2016.12.28","专利权的终止","专利权有效期届满"
"","02144590.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02145123.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02145170.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02145222.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02149270.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","02149271.9","2016.12.28","专利权的终止","未缴年费专利权终止"
