date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,token
2017-12-06,4027.12,4031.75,4015.82,3964.81,1092862.0,-24.35,-0.6,4015.818,4044.521,4087.454,1142781.51,1250463.01,1373049.54,0
2017-12-05,4007.94,4045.93,4040.17,4006.54,1540870.75,21.31,0.53,4023.404,4065.696,4089.063,1173316.39,1327653.81,1393820.31,0
2017-12-04,3989.05,4032.99,4018.86,3982.32,1026472.19,20.72,0.52,4026.534,4083.449,4089.767,1069258.43,1353917.56,1392835.1,0
2017-12-01,4003.56,4027.11,3998.14,3984.38,973869.12,-7.96,-0.2,4032.752,4095.946,4089.868,1150874.51,1388717.61,1402552.07,0
2017-11-30,4034.01,4052.8,4006.1,3988.0,1079833.5,-47.65,-1.18,4053.964,4108.217,4089.596,1217816.76,1483114.82,1418560.83,0
2017-11-29,4061.35,4069.24,4053.75,4004.69,1245536.38,-2.07,-0.05,4073.224,4118.108,4089.148,1358144.51,1496515.88,1427619.45,0
2017-11-28,4034.21,4056.48,4055.82,4010.3,1020580.94,5.87,0.14,4107.988,4120.1,4086.292,1481991.24,1492597.94,1430551.32,0
2017-11-27,4088.93,4088.93,4049.95,4037.15,1434552.62,-54.25,-1.32,4140.364,4124.453,4083.837,1638576.7,1533776.79,1434111.66,0
2017-11-24,4089.47,4116.59,4104.2,4057.49,1308580.38,1.8,0.04,4159.14,4132.265,4081.825,1626560.7,1541767.84,1441077.82,0
2017-11-23,4213.38,4214.19,4102.4,4086.9,1781472.25,-125.17,-2.96,4162.47,4133.036,4077.714,1748412.87,1552726.96,1438985.23,0
2017-11-22,4228.37,4260.64,4227.57,4191.15,1864770.0,9.87,0.23,4162.992,4130.386,4072.273,1634887.25,1495636.07,1414859.35,0
2017-11-21,4131.85,4220.26,4217.7,4129.98,1803508.25,73.87,1.78,4132.212,4112.43,4059.742,1503204.65,1459986.8,1365723.58,0
2017-11-20,4093.73,4144.51,4143.83,4060.96,1374472.62,22.98,0.56,4108.542,4096.085,4046.826,1428976.87,1431752.64,1322077.24,0
2017-11-17,4094.08,4122.38,4120.85,4081.37,1917841.25,15.84,0.39,4105.39,4083.791,4036.175,1456974.97,1416386.54,1294096.1,0
