授权公告号,申请号,法律状态公告日,法律状态,法律状态信息
100358407,200510096996.1,2008.01.02,授权,授权
100358409,02145589.9,2008.01.02,授权,授权
100358411,200410017137.4,2008.01.02,授权,授权
100358413,200410097369.5,2008.01.02,授权,授权
100358415,200510018869.X,2008.01.02,授权,授权
100358417,200610010753.6,2008.01.02,授权,授权
100358419,200610043387.4,2008.01.02,授权,授权
100358421,200480004749.8,2008.01.02,授权,授权
100358423,200610067284.1,2008.01.02,授权,授权
100358425,02800755.7,2008.01.02,授权,授权
100358427,200510062079.1,2008.01.02,授权,授权
100358429,200510054673.6,2008.01.02,授权,授权
100358431,200410010978.2,2008.01.02,授权,授权
100358433,200310114500.X,2008.01.02,授权,授权
100358435,200610033024.2,2008.01.02,授权,授权
100358437,200410094893.7,2008.01.02,授权,授权
100358439,03826134.0,2008.01.02,授权,授权
100358441,200410029563.X,2008.01.02,授权,授权
100358443,200510134984.3,2008.01.02,授权,授权
100358445,200510045039.6,2008.01.02,授权,授权
100358447,200510045038.1,2008.01.02,授权,授权
100358449,200510064524.8,2008.01.02,授权,授权
100358451,01814199.4,2008.01.02,授权,授权
100358453,00816913.6,2008.01.02,授权,授权
100358455,200410008155.6,2008.01.02,授权,授权
100358457,03144428.8,2008.01.02,授权,授权
100358459,03144468.7,2008.01.02,授权,授权
100358461,99111587.2,2008.01.02,授权,授权
100358463,03144395.8,2008.01.02,授权,授权
100358465,03144427.X,2008.01.02,授权,授权
100358467,200510040091.2,2008.01.02,授权,授权
100358469,200510015617.1,2008.01.02,授权,授权
100358471,200380103470.0,2008.01.02,授权,授权
100358473,200410088095.3,2008.01.02,授权,授权
100358475,03145463.1,2008.01.02,授权,授权
100358477,200510054967.9,2008.01.02,授权,授权
100358479,200410092157.8,2008.01.02,授权,授权
100358481,200480016876.X,2008.01.02,授权,授权
100358483,200510018225.0,2008.01.02,授权,授权
100358485,00803453.2,2008.01.02,授权,授权
100358487,200310123656.4,2008.01.02,授权,授权
100358489,200510040147.4,2008.01.02,授权,授权
100358491,200380102353.2,2008.01.02,授权,授权
100358493,200410022070.3,2008.01.02,授权,授权
100358495,99815281.1,2008.01.02,授权,授权
100358497,200410097167.0,2008.01.02,授权,授权
100358499,200510008617.9,2008.01.02,授权,授权
100358501,200510008620.0,2008.01.02,授权,授权
100358503,200510051494.7,2008.01.02,授权,授权
100358505,200510055386.7,2008.01.02,授权,授权
100358507,200510063467.1,2008.01.02,授权,授权
100358509,03111644.2,2008.01.02,授权,授权
100358511,200510046322.0,2008.01.02,授权,授权
100358513,00814800.7,2008.01.02,授权,授权
100358515,02813746.9,2008.01.02,授权,授权
100358517,200410082873.8,2008.01.02,授权,授权
100358519,02814104.0,2008.01.02,授权,授权
100358521,03156779.7,2008.01.02,授权,授权
100358523,200510085079.3,2008.01.02,授权,授权
100358525,200510132609.5,2008.01.02,授权,授权
100358527,200410047856.0,2008.01.02,授权,授权
100358529,95191360.3,2008.01.02,授权,授权
100358531,200410079556.0,2008.01.02,授权,授权
100358533,200410051224.1,2008.01.02,授权,授权
100358535,200510123577.2,2008.01.02,授权,授权
100358537,03119645.4,2008.01.02,授权,授权
100358539,200510020248.5,2008.01.02,授权,授权
100358541,200610010834.6,2008.01.02,授权,授权
100358543,200410086578.X,2008.01.02,授权,授权
100358545,200510045248.0,2008.01.02,授权,授权
100358547,200510042559.1,2008.01.02,授权,授权
100358549,200610082312.7,2008.01.02,授权,授权
100358551,200410013941.5,2008.01.02,授权,授权
100358553,200510016658.2,2008.01.02,授权,授权
100358555,200410023303.1,2008.01.02,授权,授权
100358557,200410155355.4,2008.01.02,授权,授权
100358559,200410057398.9,2008.01.02,授权,授权
100358561,200610070169.X,2008.01.02,授权,授权
100358563,200410096036.0,2008.01.02,授权,授权
